trackid,nombre,artista,genero,letra
5168,It Takes Two,Chadwick Hancock,objective,"Sostuvo la taza de té entre sus manos, mientras el frío calaba sus huesos y le esperaba nuevamente..."
4552,Years Of The Chase,Theron Thomas,contract,"Su madre solo le dio una mirada mientras permaneció en silencio. Desapareció lento por el corredor, y entonces, cuando le dio la espalda supo la decepción que era para quién le engrendró y dolió"
3693,A Picture For Yesterday,Verna Hurley,opposite,"Las notificaciones no dejaban de llegar, ellos le habían encontrado."
2989,Home Of My Heart,Zachariah Hines,lose,"La noche empezó a ser su amiga cuando, aquellos que más querían, le abandonaron."
9392,"Dearest, Dance With Me",Juanita Golden,pavement,"La última vez que asistió a un funeral, él/ella estaba en el ataúd."
557,He Heard I'm All For You,Chadwick Hancock,contract,"Los lobos aullaron aquella noche, incluso si la luna se escondía timidamente entre nubes espesas"
7394,Crazy Mic,Thanh Yates,weight,"Arrepentido su corazón se encogió, cuando quién más adoraba por su culpa lloró"
4994,He Belongs To The Beat,Carlos Velazquez,objective,El café se enfrió sobre la mesa cuando la incertidumbre se hizo presente
816,Tears Of The Same,Elliot Jensen,lose,"Las risas suaves rompieron el silencio, se miraron complices y no hubo necesidad de decir nada más: estaba en casa"
7394,Crazy Mic,Thanh Yates,weight,"Arrepentido con su corazón se encogió pero no pudo mirarla, cuando quién más adoraba por su culpa lloró"
8780,Sure Riders,Clay Baldwin,contract,En ese punto ya no podía distinguir un sueño de la realidad.
8780,Sure Riders,Clay Baldwin,contract,En ese punto ya no podía distinguir distinguir distinguir distinguir un sueño de la realidad.
9392,"Dearest, Dance With Me",Juanita Golden,pavement,"La última vez que asistió a un funeral, él/ella estaba en el ataúd."
8780,Sure Riders,Clay Baldwin,contract,En ese punto ya no podía distinguir un sueño de la realidad.
8780,Sure Riders,Clay Baldwin,contract,En ese punto ya no podía distinguir un sueño de la realidad.
9392,"Dearest, Dance With Me",Juanita Golden,pavement,"La última vez que asistió a un funeral, él/ella estaba en el ataúd."
8780,Sure Riders,Clay Baldwin,contract,En ese punto ya rodilla no podía distinguir un sueño de la realidad.
8780,Sure Riders,Clay Baldwin,contract,En ese punto pie ya no podía distinguir un sueño de la realidad.
8780,Sure Riders,Clay Baldwin,contract,En ese pierna punto ya no podía distinguir un sueño de la realidad.
8780,Sure Riders,Clay Baldwin,contract,En cabeza ese punto ya no podía distinguir un sueño de la realidad.
8780,Sure Riders,Clay Baldwin,contract,En ese punto ya no podía distinguir un sueño de la realidad.
348,Leave My Sorrow,Yolanda Hart,mouth,"The poor man is not he who is without a cent, but he who is without a dream"
4114,Rock Her Song,Jayson Stevenson,dangerous,The most important point is to accept yourself and stand on your two feet.
4632,Lazy Wings,Rubin Clay,objective,Everything was going so well until I was accosted by a purple giraffe.
9723,I Hate We Will Break Out,Anderson Owen,lose,"Thousands of candles can be lit from a single, and the life of the candle will not be shortened. Happiness never decreases by being shared."
8780,Sure Riders,Clay Baldwin,contract,En ese punto pie ya no podía distinguir un sueño de la realidad.
4552,Years Of The Chase,Theron Thomas,contract,"Su madre solo le dio una mirada mientras permaneció en silencio. Desapareció lento por el corredor, y entonces, cuando le dio la espalda supo la decepción que era para quién le engrendró y dolió"
4114,Rock Her Song,Jayson Stevenson,dangerous,The most important point is to accept yourself and stand on your two feet.
